1631.35,1203937
1626.85,1706495
1638.8,1645554
1687.65,1208048
1709.3,1484059
1712.4,2136629
1701.35,2993159
1671,3337737
1633.05,837221
1652.1,1221831
1626.25,1246347
1605.8,899244
1636.05,1060256
1650,1276296
1653.15,1723337
1616.5,1006769
1632.8,1891205
1595.75,1231647
1649.9,2974731
1634.05,1346277
1609.05,1307298
1606.7,881033
1596.8,1335349
1598.15,1979801
1562.4,1466274
1574.45,1629663
1578.25,1912597
1585.25,2770057
1521.6,1608656
1553.65,1620521
1555.45,3239691
1490,2644607
1418.3,1183000
1409.4,1471301
1369.1,961602
1378.7,1024775
1373.3,108176
1368.2,1715813
1314.9,1049969
1324.3,1097767
1365.85,922104
1352.1,1018089
1342.9,1674065
1354.65,2484251
1349.35,1096003
1361.7,1310750
1396.6,1153275
1420.8,1304583
1432.15,1335632
1457.25,863806
1466.75,1241956
1451.85,1267618
1477.4,1544926
1454.6,1651559
1440.25,915386
1423.95,948310
1418.35,1275159
1405.1,937383
1417.7,887343
1406.2,1085739
1382.35,1333739
1390.95,1303394
1382.1,929658
1369.4,1369603
1366.3,1327674
1319.8,1510370
1318.15,1747651
1341.85,1223824
1354.7,1784131
1378.1,4027303
1390.4,952960
1406.6,729028
1401.5,1415170
1378.45,1139637
1383.25,1331774
1404.75,760703
1407.6,1359802
1435.9,1671316
1417,1348132
1388.8,1158705
1405,1135665
1428.45,1421647
1418.8,1668026
1403.95,1194486
1399.55,1501507
1397.8,2406574
1343.35,1814130
1347.55,1449204
1348.6,1531706
1355.45,1506813
1361.95,2052702
1372.85,2578990
1342.75,2074251
1330.3,2776098
1319.95,3351058
1323.75,4577454
1296.9,3053250
1349.9,4024871
1315.65,2306126
1283.25,2584668
1309.45,2636725
1275,2542550
1267.15,3362728
1211.15,3123798
1173.5,2436267
1134.9,1488635
1172.6,1510183
1187.6,1222958
1202.15,1306472
1204.6,1783188
1188,1298771
1168.45,1535119
1149.35,1647814
1159.75,1981149
1192.25,1837472
1161.15,2572227
1163.55,3386401
1205.85,2890448
1222.25,4994170
1159.4,6636770
1138,2028515
1154.95,1397075
1156.95,1934156
1158.75,1953934
1202.9,3217366
1147.15,2828387
1199.3,1288095
1214.35,1097897
1226.85,869701
1219.95,72948
1220.25,1228151
1226.65,1680080
1231.5,2792772
1218.55,2839174
1253.8,1485254
1291.35,1226863
1317.8,939793
1324.65,1466951
1332.8,2476004
1301.5,1303075
1282.3,1324960
1291.4,1256289
1283.8,1296929
1285.3,1560568
1298.35,1213465
1345.3,881847
1362.1,1769269
1332.45,1314928
1309,2118049
1280.55,1952662
1307.8,1840647
1303.2,1765843
1279.75,1276845
1300.7,1595911
1296.9,2434510
1346.4,2954991
1287.1,1699428
1296.55,1699505
1320,3141817
1361.5,1795838
1396.6,2689904
1361.7,1549130
1349,2862242
1302.35,2752158
1237.55,2537450
1235.05,2802061
1266.75,1682609
1298.95,153771
1299.65,2457917
1277.9,3192683
1308.05,4112507
1348.8,4212065
1301.9,2519190
1348.6,2416341
1399.45,2517678
1423,3013083
1446.75,2156969
1447.15,4261526
1448.55,2229576
1455.1,3854006
1379.5,2030775
1328.25,2472329
1351,1692533
1355.25,2099979
1367.5,1665644
1354.5,2154877
1384.95,2235288
1354.6,1756960
1362.1,2955425
1344.7,3276741
1310.8,4222454
1305.3,2049383
1381.5,2969779
1330.7,3097039
1351.85,5446616
1277.3,5093723
1274.4,2450842
1277.15,1977514
1240.6,3271672
1267.4,3028403
1201.75,2189192
1172.5,2228478
1131.8,2428893
1147.1,1953856
1133.8,2697376
1088.1,1709176
1082.7,112371
