1010.9;1013.5;1012.2
1013.65;1001.1;1007.375
1000.7;1006.95;1003.825
1006.9;1008.6;1007.75
1008.45;995.2;1001.825
992.05;998.55;995.3
998.6;998.85;998.725
998.95;1001.65;1000.3
1001.4;992;996.7
991.75;985.75;988.75
985.75;994.9;990.325
994.15;983.6;988.875
983.45;976.05;979.75
975.6;969.6;972.6
969.85;970.3;970.075
969.95;966.2;968.075
964.65;970.05;967.35
970.1;969.9;970
969.95;976.45;973.2
976.15;963.15;969.65
961.15;955.2;958.175
955.35;948.2;951.775
948.1;948.2;948.15
947.8;954.75;951.275
954.8;960.8;957.8
960.85;954.75;957.8
954.8;958.45;956.625
958.45;971.05;964.75
971.5;972.45;971.975
972.9;973.6;973.25
973.7;973.3;973.5
973.8;971.65;972.725
971.75;967.35;969.55
967.5;962.5;965
962.9;957.35;960.125
957.7;946.9;952.3
946.8;932.2;939.5
932.35;922.7;927.525
922.55;936.9;929.725
936.15;937.75;936.95
937.35;951.4;944.375
951.45;951.45;951.45
951.6;962.1;956.85
962.85;962.3;962.575
962.35;960.7;961.525
960.5;956.95;958.725
957.55;954.05;955.8
953.9;959.85;956.875
960.35;962.65;961.5
964.15;971.9;968.025
972.3;990.35;981.325
990.35;996.85;993.6
996.85;1001.6;999.225
1001.8;1008.75;1005.275
1009.5;1020.15;1014.825
1020.9;1026.2;1023.55
1026.4;1036.15;1031.275
1036.35;1031.1;1033.725
1031.25;1049.7;1040.475
1049.55;1050.15;1049.85
1050.15;1067.9;1059.025
1067.7;1055;1061.35
1055.75;1036.4;1046.075
1036.75;1045.95;1041.35
1047.55;1069.8;1058.675
1070.5;1058.65;1064.575
1058.35;1063.7;1061.025
1064.1;1069.75;1066.925
1069.95;1077;1073.475
1074.45;1086.2;1080.325
1089;1078.45;1083.725
1078.7;1073.25;1075.975
1073.2;1077.95;1075.575
1077.85;1076;1076.925
1075.45;1079.3;1077.375
1079.3;1076;1077.65
1075.95;1085;1080.475
1085.05;1094.8;1089.925
1095.65;1098.4;1097.025
1095.8;1091.95;1093.875
1091.85;1093.5;1092.675
1093.6;1100.15;1096.875
1100.55;1093.05;1096.8
